Name,Fathers_name,Address,phone1,phone2,email,backlog,attendance,CGPA,skills,experience
Arlette,Honeywell,11279 Loytan St,904-775-4480,904-514-9918,ahoneywell@honeywell.com,2,74,6,Cyber security,2
Dominque,Dickerson,69 Marquette Ave,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org,2,72,7,Web development,1
Lettie,Isenhower,70 W Main St,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com,0,71,8,App development,2
Myra,Munns,461 Prospect Pl #316,817-914-7518,817-451-3518,mmunns@cox.net,0,70,7,Cyber security,3
Stephaine,Barfield,47154 Whipple Ave Nw,310-774-7643,310-968-1219,stephaine@barfield.com,0,69,8,Web development,1
Lai,Gato,37 Alabama Ave,847-728-7286,847-957-4614,lai.gato@gato.org,0,68,7,Cyber security,2
Stephen,Emigh,3777 E Richmond St #900,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,0,67,7,Web development,3
Tyra,Shields,3 Fort Worth Ave,215-255-1641,215-228-8264,tshields@gmail.com,0,63,6,App development,3
Tammara,Wardrip,4800 Black Horse Pike,650-803-1936,650-216-5075,twardrip@cox.net,0,64,6.5,App development,2
Cory,Gibes,83649 W Belmont Ave,626-572-1096,626-696-2777,cory.gibes@gmail.com,0,65,6,Web development,1
Danica,Bruschke,840 15th Ave,254-782-8569,254-205-1422,danica_bruschke@gmail.com,0,67,6,App development,1
Wilda,Giguere,1747 Calle Amanecer #2,907-870-5536,907-914-9482,wilda@cox.net,0,69,7.5,Cyber security,2
Elvera,Benimadho,99385 Charity St #840,408-703-8505,408-440-8447,elvera.benimadho@cox.net,0,68,7.5,Web development,3
Carma,Vanheusen,68556 Central Hwy,510-503-7169,510-452-4835,carma@cox.net,0,62,8.5,Web development,3
Malinda,Hochard,55 Riverside Ave,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,0,65,8,Cyber security,2
Natalie,Fern,7140 University Ave,307-704-8713,307-279-3793,natalie.fern@hotmail.com,0,75,8,Cyber security,1
Lisha,Centini,64 5th Ave #1153,703-235-3937,703-475-7568,lisha@centini.org,0,75,8,App development,1
Arlene,Klusman,3 Secor Rd,504-710-5840,504-946-1807,arlene_klusman@gmail.com,1,74,8.5,Web development,3
Alease,Buemi,4 Webbs Chapel Rd,303-301-4946,303-521-9860,alease@buemi.com,1,73,6,App development,3
Louisa,Cronauer,524 Louisiana Ave Nw,510-828-7047,510-472-7758,louisa@cronauer.com,1,74,7,Web development,3
Angella,Cetta,185 Blackstone Bldge,808-892-7943,808-475-2310,angella.cetta@hotmail.com,1,73,6,App development,2
Cyndy,Goldammer,170 Wyoming Ave,952-334-9408,952-938-9457,cgoldammer@cox.net,1,74,8,App development,1
Rosio,Cork,4 10th St W,336-243-5659,336-497-4407,rosio.cork@gmail.com,2,73,7,Web development,2
Celeste,Korando,7 W Pinhook Rd,516-509-2347,516-365-7266,ckorando@hotmail.com,2,74,6.5,Cyber security,3
Twana,Felger,1 Commerce Way,503-939-3153,503-909-7167,twana.felger@felger.org,2,75,8,Cyber security,3
Estrella,Samu,64 Lakeview Ave,608-976-7199,608-942-8836,estrella@aol.com,2,72,8.5,Cyber security,3
Donte,Kines,3 Aspen St,508-429-8576,508-843-1426,dkines@hotmail.com,2,65,7,Web development,2
Tiffiny,Steffensmeier,32860 Sierra Rd,305-385-9695,305-304-6573,tiffiny_steffensmeier@cox.net,2,64,7.5,App development,1
Edna,Miceli,555 Main St,814-460-2655,814-299-2877,emiceli@miceli.org,2,62,6.5,Cyber security,3
Sue,Kownacki,2 Se 3rd Ave,972-666-3413,972-742-4000,sue@aol.com,1,61,7.5,Cyber security,2
Jesusa,Shin,2239 Shawnee Mission Pky,931-273-8709,931-739-1551,jshin@shin.com,2,63,8,Web development,1
Rolland,Francescon,2726 Charcot Ave,973-649-2922,973-284-4048,rolland@cox.net,2,61,8,Cyber security,2
Pamella,Schmierer,5161 Dorsett Rd,305-420-8970,305-575-8481,pamella.schmierer@schmierer.org,1,60,8,Web development,1
Glory,Kulzer,55892 Jacksonville Rd,410-224-9462,410-916-8015,gkulzer@kulzer.org,2,61,7.5,Web development,2
Shawna,Palaspas,5 N Cleveland Massillon Rd,805-275-3566,805-638-6617,shawna_palaspas@palaspas.org,2,71,6,App development,3
Brandon,Callaro,7 Benton Dr,808-215-6832,808-240-5168,brandon_callaro@hotmail.com,1,75,6.5,Cyber security,1
Scarlet,Cartan,9390 S Howell Ave,229-735-3378,229-365-9658,scarlet.cartan@yahoo.com,1,60,8.5,Cyber security,2
Oretha,Menter,8 County Center Dr #647,617-418-5043,617-697-6024,oretha_menter@yahoo.com,1,60,8.5,Web development,2
Ty,Smith,4646 Kaahumanu St,201-672-1553,201-995-3149,tsmith@aol.com,1,75,6,App development,1
Xuan,Rochin,2 Monroe St,650-933-5072,650-247-2625,xuan@gmail.com,1,63,6,Cyber security,1
Lindsey,Dilello,52777 Leaders Heights Rd,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com,2,61,8,Web development,2
Devora,Perez,72868 Blackington Ave,510-955-3016,510-755-9274,devora_perez@perez.org,1,67,8,Cyber security,1
Herman,Demesa,9 Norristown Rd,518-497-2940,518-931-7852,hdemesa@cox.net,2,62,7,Web development,2
Rory,Papasergi,83 County Road 437 #8581,570-867-7489,570-469-8401,rpapasergi@cox.net,1,70,7,App development,2
Talia,Riopelle,1 N Harlem Ave #9,973-245-2133,973-818-9788,talia_riopelle@aol.com,2,65,8.5,App development,1
Van,Shire,90131 J St,908-409-2890,908-448-1209,van.shire@shire.com,1,61,7.5,Web development,2
Lucina,Lary,8597 W National Ave,321-749-4981,321-632-4668,lucina_lary@cox.net,2,63,7.5,App development,3
Bok,Isaacs,6 Gilson St,718-809-3762,718-478-8568,bok.isaacs@aol.com,1,65,6.5,Cyber security,3
Rolande,Spickerman,65 W Maple Ave,808-315-3077,808-526-5863,rolande.spickerman@spickerman.com,0,65,6,Web development,1
Howard,Paulas,866 34th Ave,303-623-4241,303-692-3118,hpaulas@gmail.com,0,62,6,Web development,2
Kimbery,Madarang,798 Lund Farm Way,973-310-1634,973-225-6259,kimbery_madarang@cox.net,0,64,6,Cyber security,3
Thurman,Manno,9387 Charcot Ave,609-524-3586,609-234-8376,thurman.manno@yahoo.com,1,64,6,Cyber security,2
Becky,Mirafuentes,30553 Washington Rd,908-877-8409,908-426-8272,becky.mirafuentes@mirafuentes.com,0,63,7,App development,1
Beatriz,Corrington,481 W Lemon St,508-584-4279,508-315-3867,beatriz@yahoo.com,1,70,8,Web development,1
Marti,Maybury,4 Warehouse Point Rd #7,773-775-4522,773-539-1058,marti.maybury@yahoo.com,0,71,7,App development,2
Nieves,Gotter,4940 Pulaski Park Dr,503-527-5274,503-455-3094,nieves_gotter@gmail.com,1,72,8,Web development,3
Leatha,Hagele,627 Walford Ave,214-339-1809,214-225-5850,lhagele@cox.net,0,73,7,App development,3
Valentin,Klimek,137 Pioneer Way,312-303-5453,312-512-2338,vklimek@klimek.org,1,74,7,App development,2
Melissa,Wiklund,61 13 Stoneridge #835,419-939-3613,419-254-4591,melissa@cox.net,0,72,6,Web development,1
Sheridan,Zane,2409 Alabama Rd,951-645-3605,951-248-6822,sheridan.zane@zane.com,1,71,6.5,Cyber security,2
Bulah,Padilla,8927 Vandever Ave,254-463-4368,254-816-8417,bulah_padilla@hotmail.com,0,70,6,Cyber security,3
Audra,Kohnert,134 Lewis Rd,615-406-7854,615-448-9249,audra@kohnert.com,1,69,6,Cyber security,1
Daren,Weirather,9 N College Ave #3,414-959-2540,414-838-3151,dweirather@aol.com,0,68,7.5,Web development,2
Fernanda,Jillson,60480 Old Us Highway 51,410-387-5260,410-724-6472,fjillson@aol.com,1,67,7.5,App development,3
Gearldine,Gellinger,4 Bloomfield Ave,972-934-6914,972-821-7118,gearldine_gellinger@gellinger.com,0,63,8.5,Cyber security,3
Chau,Kitzman,429 Tiger Ln,310-560-8022,310-969-7230,chau@gmail.com,1,64,8,Cyber security,2
Theola,Frey,54169 N Main St,516-948-5768,516-357-3362,theola_frey@frey.com,0,65,8,Web development,1
Cheryl,Haroldson,92 Main St,609-518-7697,609-263-9243,cheryl@haroldson.org,2,67,8,Cyber security,1
Laticia,Merced,72 Mannix Dr,513-508-7371,513-418-1566,lmerced@gmail.com,0,69,8.5,Web development,2
Carissa,Batman,12270 Caton Center Dr,541-326-4074,541-801-5717,carissa.batman@yahoo.com,1,68,6,Web development,3
Lezlie,Craghead,749 W 18th St #45,919-533-3762,919-885-2453,lezlie.craghead@craghead.org,2,62,7,App development,3
Ozell,Shealy,8 Industry Ln,212-332-8435,212-880-8865,oshealy@hotmail.com,0,65,6,Cyber security,2
Arminda,Parvis,1 Huntwood Ave,602-906-9419,602-277-3025,arminda@parvis.com,2,75,8,Cyber security,1
Reita,Leto,55262 N French Rd,317-234-1135,317-787-5514,reita.leto@gmail.com,2,75,7,Web development,1
Yolando,Luczki,422 E 21st St,315-304-4759,315-640-6357,yolando@cox.net,1,74,6.5,App development,3
Lizette,Stem,501 N 19th Ave,856-487-5412,856-702-3676,lizette.stem@aol.com,2,73,8,Cyber security,3
Gregoria,Pawlowicz,455 N Main Ave,516-212-1915,516-376-4230,gpawlowicz@yahoo.com,1,74,8.5,Web development,3
Carin,Deleo,1844 Southern Blvd,501-308-1040,501-409-6072,cdeleo@deleo.com,2,73,7,Cyber security,2
Chantell,Maynerich,2023 Greg St,651-591-2583,651-776-9688,chantell@yahoo.com,0,74,7.5,Web development,1
Dierdre,Yum,63381 Jenks Ave,215-325-3042,215-346-4666,dyum@yahoo.com,2,73,6.5,App development,2
Larae,Gudroe,6651 Municipal Rd,985-890-7262,985-261-5783,larae_gudroe@gmail.com,1,74,7.5,App development,3
Latrice,Tolfree,81 Norris Ave #525,631-957-7624,631-998-2102,latrice.tolfree@hotmail.com,0,75,8,Web development,3
Kerry,Theodorov,6916 W Main St,916-591-3277,916-770-7448,kerry.theodorov@gmail.com,2,72,8,App development,3
Dorthy,Hidvegi,9635 S Main St,208-649-2373,208-690-3315,dhidvegi@yahoo.com,0,65,8,Cyber security,2
Fannie,Lungren,17 Us Highway 111,512-587-5746,512-528-9933,fannie.lungren@yahoo.com,1,64,7.5,Web development,1
Evangelina,Radde,992 Civic Center Dr,215-964-3284,215-417-5612,evangelina@aol.com,2,62,6,Web development,3
Novella,Degroot,303 N Radcliffe St,808-477-4775,808-746-1865,novella_degroot@degroot.org,0,61,6.5,Cyber security,2
Clay,Hoa,73 Saint Ann St #86,775-501-8109,775-848-9135,choa@hoa.org,0,63,8.5,Cyber security,1
Jennifer,Fallick,44 58th St,847-979-9545,847-800-3054,jfallick@yahoo.com,1,61,8.5,App development,2
Irma,Wolfgramm,9745 W Main St,973-545-7355,973-868-8660,irma.wolfgramm@hotmail.com,2,60,6,Web development,1
Eun,Coody,84 Bloomfield Ave,864-256-3620,864-594-4578,eun@yahoo.com,2,61,6,App development,2
Sylvia,Cousey,287 Youngstown Warren Rd,410-209-9545,410-863-8263,sylvia_cousey@cousey.org,1,71,8,Web development,3
Nana,Wrinkles,6 Van Buren St,914-855-2115,914-796-3775,nana@aol.com,0,75,8,App development,1
Layla,Springe,229 N Forty Driv,212-260-3151,212-253-7448,layla.springe@cox.net,1,60,7,App development,2
Joesph,Degonia,2887 Knowlton St #5435,510-677-9785,510-942-5916,joesph_degonia@degonia.org,2,60,7,Web development,2
Annabelle,Boord,523 Marquette Ave,978-697-6263,978-289-7717,annabelle.boord@cox.net,0,75,8.5,Cyber security,1
Stephaine,Vinning,3717 Hamann Industrial Pky,415-767-6596,415-712-9530,stephaine@cox.net,1,63,7.5,Cyber security,1
Nelida,Sawchuk,3 State Route 35 S,201-971-1638,201-247-8925,nelida@gmail.com,2,61,7.5,Cyber security,2
Marguerita,Hiatt,82 N Highway 67,925-634-7158,925-541-8521,marguerita.hiatt@gmail.com,2,67,6.5,Web development,1
Carmela,Cookey,9 Murfreesboro Rd,773-494-4195,773-297-9391,ccookey@cookey.org,1,62,6,App development,2
Junita,Brideau,6 S Broadway St,973-943-3423,973-582-5469,jbrideau@aol.com,0,70,6,Cyber security,2
Claribel,Varriano,6 Harry L Dr #6327,419-544-4900,419-573-2033,claribel_varriano@cox.net,1,65,6,Cyber security,1
Benton,Skursky,47939 Porter Ave,310-579-2907,310-694-8466,benton.skursky@aol.com,2,61,6,Web development,2
Hillary,Skulski,9 Wales Rd Ne #914,352-242-2570,352-990-5946,hillary.skulski@aol.com,0,63,7,Cyber security,3
Merilyn,Bayless,195 13n N,408-758-5015,408-346-2180,merilyn_bayless@cox.net,0,65,8,Web development,3
Teri,Ennaco,99 Tank Farm Rd,570-889-5187,570-355-1665,tennaco@gmail.com,0,65,7,Web development,1
Merlyn,Lawler,4671 Alemany Blvd,201-588-7810,201-858-9960,merlyn_lawler@hotmail.com,0,62,8,App development,2
Georgene,Montezuma,98 University Dr,925-615-5185,925-943-3449,gmontezuma@cox.net,2,64,7,Cyber security,3
Jettie,Mconnell,50 E Wacker Dr,908-802-3564,908-602-5258,jmconnell@hotmail.com,0,64,7,Cyber security,2
Lemuel,Latzke,70 Euclid Ave #722,631-748-6479,631-291-4976,lemuel.latzke@gmail.com,1,63,6,Web development,1
Melodie,Knipp,326 E Main St #6496,805-690-1682,805-810-8964,mknipp@gmail.com,2,70,6.5,App development,1
Candida,Corbley,406 Main St,908-275-8357,908-943-6103,candida_corbley@hotmail.com,0,71,6,Cyber security,2
Karan,Karpin,3 Elmwood Dr,503-940-8327,503-707-5812,karan_karpin@gmail.com,1,72,6,Web development,3
Andra,Scheyer,9 Church St,503-516-2189,503-950-3068,andra@gmail.com,2,73,7.5,Cyber security,3
Felicidad,Poullion,9939 N 14th St,856-305-9731,856-828-6021,fpoullion@poullion.com,1,74,7.5,Web development,2
Belen,Strassner,5384 Southwyck Blvd,770-507-8791,770-802-4003,belen_strassner@aol.com,2,72,8.5,App development,1
Gracia,Melnyk,97 Airport Loop Dr,904-235-3633,904-627-4341,gracia@melnyk.com,2,71,8,App development,2
Jolanda,Hanafan,37855 Nolan Rd,207-458-9196,207-233-6185,jhanafan@gmail.com,1,70,8,Web development,3
Barrett,Toyama,4252 N Washington Ave #9,817-765-5781,817-577-6151,barrett.toyama@toyama.org,2,69,8,App development,1
Helga,Fredicks,42754 S Ash Ave,716-752-4114,716-854-9845,helga_fredicks@yahoo.com,2,68,8.5,Cyber security,2
Ashlyn,Pinilla,703 Beville Rd,305-670-9628,305-857-5489,apinilla@cox.net,2,67,6,Web development,3
Fausto,Agramonte,5 Harrison Rd,212-313-1783,212-778-3063,fausto_agramonte@yahoo.com,1,63,7,Web development,3
Ronny,Caiafa,73 Southern Blvd,215-605-7570,215-511-3531,ronny.caiafa@caiafa.org,1,64,6,Cyber security,2
Marge,Limmel,189 Village Park Rd,850-430-1663,850-330-8079,marge@gmail.com,1,65,8,Cyber security,1
Norah,Waymire,6 Middlegate Rd #106,415-306-7897,415-874-2984,norah.waymire@gmail.com,1,67,7,App development,1
Aliza,Baltimore,1128 Delaware St,408-504-3552,408-425-1994,aliza@aol.com,1,69,6.5,Web development,2
Mozell,Pelkowski,577 Parade St,650-947-1215,650-960-1069,mpelkowski@pelkowski.org,1,68,8,App development,3
Viola,Bitsuie,70 Mechanic St,818-864-4875,818-481-5787,viola@gmail.com,2,62,8.5,Web development,3
Franklyn,Emard,4379 Highway 116,215-558-8189,215-483-3003,femard@emard.com,2,65,7,App development,2
Willodean,Konopacki,55 Hawthorne Blvd,337-253-8384,337-774-7564,willodean_konopacki@konopacki.org,2,75,7.5,App development,1
Beckie,Silvestrini,7116 Western Ave,313-533-4884,313-390-7855,beckie.silvestrini@silvestrini.com,0,75,6.5,Web development,1
Rebecka,Gesick,2026 N Plankinton Ave #3,512-213-8574,512-693-8345,rgesick@gesick.org,0,74,7.5,Cyber security,3
Frederica,Blunk,99586 Main St,214-428-2285,214-529-1949,frederica_blunk@gmail.com,0,73,8,Cyber security,3
Glen,Bartolet,8739 Hudson St,206-697-5796,206-389-1482,glen_bartolet@hotmail.com,0,74,8,Cyber security,3
Freeman,Gochal,383 Gunderman Rd #197,610-476-3501,610-752-2683,freeman_gochal@aol.com,0,73,8,Web development,2
Vincent,Meinerding,4441 Point Term Mkt,215-372-1718,215-829-4221,vincent.meinerding@hotmail.com,1,74,7.5,App development,1
Rima,Bevelacqua,2972 Lafayette Ave,310-858-5079,310-499-4200,rima@cox.net,1,73,6,Cyber security,2
Glendora,Sarbacher,2140 Diamond Blvd,707-653-8214,707-881-3154,gsarbacher@gmail.com,2,74,6.5,Cyber security,3
Avery,Steier,93 Redmond Rd #492,407-808-9439,407-945-8566,avery@cox.net,1,75,8.5,Web development,3
Cristy,Lother,3989 Portage Tr,760-971-4322,760-465-4762,cristy@lother.com,2,72,8.5,Cyber security,3
Nicolette,Brossart,1 Midway Rd,508-837-9230,508-504-6388,nicolette_brossart@brossart.com,1,65,6,Web development,2
Tracey,Modzelewski,77132 Coon Rapids Blvd Nw,936-264-9294,936-988-8171,tracey@hotmail.com,2,64,6,Web development,1
Virgina,Tegarden,755 Harbor Way,414-214-8697,414-411-5744,virgina_tegarden@tegarden.com,1,62,8,App development,3
Tiera,Frankel,87 Sierra Rd,626-636-4117,626-638-4241,tfrankel@aol.com,2,61,8,Cyber security,2
Alaine,Bergesen,7667 S Hulen St #42,914-300-9193,914-654-1426,alaine_bergesen@cox.net,2,63,7,Cyber security,1
Earleen,Mai,75684 S Withlapopka Dr #32,214-289-1973,214-785-6750,earleen_mai@cox.net,2,61,7,Web development,2
Leonida,Gobern,5 Elmwood Park Blvd,228-235-5615,228-432-4635,leonida@gobern.org,0,60,8.5,App development,1
Ressie,Auffrey,23 Palo Alto Sq,305-604-8981,305-287-4743,ressie.auffrey@yahoo.com,0,61,7.5,Cyber security,2
